dont_email,dont_call,occupation,received_free_copy,total_site_visit,total_time_spend_on_site,avg_page_view_per_visit,converted
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,78.0,1.0,0
No,No,Unemployed,Yes,9.0,155.0,1.5,0
No,No,Unemployed,No,2.0,172.0,2.0,0
No,No,Unemployed,Yes,3.0,334.0,3.0,1
No,No,Working Professional,No,3.0,1839.0,3.0,1
No,No,Unemployed,No,2.0,278.0,1.0,0
No,No,Unemployed,No,5.0,1603.0,5.0,1
No,No,Unemployed,Yes,7.0,66.0,7.0,0
No,No,Unemployed,No,7.0,938.0,7.0,1
No,No,Unemployed,No,1.0,348.0,1.0,0
Yes,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,5.0,497.0,5.0,0
No,No,Unemployed,Yes,4.0,590.0,4.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.0,1373.0,1.0,1
No,No,Unemployed,Yes,3.0,226.0,1.5,0
No,No,Unemployed,No,2.0,942.0,2.0,0
No,No,Unemployed,No,3.0,1362.0,3.0,1
No,No,Unemployed,No,8.0,960.0,2.67,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,3.5977173233270796,32.0,2.465630081300813,0
No,No,Working Professional,Yes,10.0,918.0,3.33,1
No,No,Working Professional,No,3.0,1438.0,1.5,1
No,No,Working Professional,No,0.0,0.0,0.0,1
Yes,No,Unemployed,Yes,10.0,824.0,10.0,0
No,No,Unemployed,No,2.0,3.0,2.0,0
No,No,Unemployed,No,3.0,126.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,No,3.0,1224.0,3.0,1
No,No,Unemployed,No,3.5977173233270796,1636.0,2.465630081300813,1
No,No,Unemployed,No,3.5977173233270796,1129.0,2.465630081300813,1
No,No,Unemployed,No,4.0,1144.0,2.0,1
No,No,Unemployed,Yes,7.0,1003.0,2.33,1
No,No,Unemployed,No,2.0,1108.0,2.0,1
No,No,Unemployed,Yes,9.0,942.0,1.8,0
No,No,Unemployed,No,12.0,348.0,3.0,0
No,No,Unemployed,No,5.0,463.0,5.0,0
No,No,Unemployed,No,10.0,1448.0,5.0,0
No,No,Unemployed,No,11.0,1042.0,5.5,1
No,No,Unemployed,No,5.0,14.0,5.0,0
No,No,Unemployed,No,7.0,901.0,7.0,1
No,No,Unemployed,Yes,5.0,1656.0,5.0,1
No,No,Unemployed,No,2.0,1144.0,1.0,0
No,No,Unemployed,Yes,3.0,1168.0,3.0,0
Yes,No,Unemployed,Yes,6.0,112.0,1.5,0
No,No,Working Professional,Yes,10.0,1523.0,2.5,1
No,No,Unemployed,Yes,5.0,1016.0,2.5,1
No,No,Unemployed,No,4.0,173.0,4.0,0
No,No,Unemployed,No,4.0,852.0,4.0,1
No,No,Unemployed,No,3.0,415.0,3.0,0
No,No,Unemployed,Yes,5.0,328.0,2.5,0
No,No,Unemployed,No,17.0,1194.0,1.31,1
Yes,No,Unemployed,Yes,2.0,131.0,2.0,0
No,No,Unemployed,No,2.0,1261.0,1.0,1
No,No,Unemployed,Yes,2.0,1119.0,2.0,0
No,No,Working Professional,No,3.5977173233270796,28.0,2.465630081300813,1
No,No,Unemployed,No,7.0,1186.0,2.33,1
No,No,Unemployed,No,4.0,99.0,4.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,2.0,61.0,2.0,0
No,No,Unemployed,Yes,6.0,136.0,6.0,0
No,No,Unemployed,No,6.0,529.0,6.0,0
No,No,Unemployed,No,2.0,278.0,2.0,0
No,No,Unemployed,No,3.0,117.0,3.0,1
No,No,Working Professional,No,3.0,717.0,1.5,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,No,6.0,1040.0,6.0,1
No,No,Working Professional,No,9.0,1638.0,9.0,1
Yes,No,Unemployed,Yes,4.0,104.0,4.0,0
No,No,Unemployed,No,8.0,68.0,4.0,1
Yes,No,Unemployed,No,2.0,152.0,2.0,0
No,No,Unemployed,No,7.0,250.0,1.4,0
No,No,Unemployed,No,3.0,1995.0,3.0,1
No,No,Unemployed,No,2.0,41.0,2.0,1
No,No,Unemployed,Yes,2.0,5.0,2.0,0
No,No,Unemployed,No,2.0,1486.0,1.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,1322.0,2.0,0
Yes,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,933.0,2.0,1
No,No,Unemployed,Yes,5.0,1059.0,5.0,0
No,No,Unemployed,No,2.0,367.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,10.0,130.0,5.0,1
No,No,Student,No,0.0,0.0,0.0,0
No,No,Unemployed,No,2.0,13.0,1.0,1
No,No,Unemployed,No,1.0,798.0,1.0,1
No,No,Unemployed,Yes,6.0,81.0,6.0,0
No,No,Unemployed,No,3.0,1360.0,3.0,1
Yes,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.0,736.0,3.0,1
No,No,Unemployed,No,4.0,176.0,2.0,0
No,No,Working Professional,Yes,3.0,597.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,4.0,191.0,4.0,0
No,No,Unemployed,Yes,6.0,1377.0,6.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,4.0,1189.0,4.0,1
No,No,Unemployed,Yes,2.0,762.0,2.0,1
No,No,Unemployed,No,4.0,1064.0,4.0,0
No,No,Unemployed,No,1.0,238.0,1.0,0
No,No,Unemployed,No,2.0,1548.0,2.0,1
No,No,Unemployed,Yes,5.0,311.0,2.5,0
Yes,No,Unemployed,No,1.0,117.0,1.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,6.0,78.0,6.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Working Professional,No,2.0,1311.0,1.0,1
Yes,No,Unemployed,Yes,1.0,1270.0,1.0,0
No,No,Unemployed,No,4.0,686.0,4.0,1
No,No,Unemployed,No,9.0,924.0,3.0,1
No,No,Unemployed,Yes,3.0,452.0,3.0,0
Yes,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,1.0,86.0,1.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,5.0,559.0,5.0,0
No,No,Unemployed,No,3.0,169.0,3.0,0
No,No,Unemployed,No,4.0,29.0,2.0,0
No,No,Unemployed,No,3.0,232.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,2.0,66.0,2.0,0
Yes,No,Unemployed,Yes,5.0,1313.0,1.67,0
No,No,Unemployed,No,3.5977173233270796,1672.0,2.465630081300813,1
No,No,Unemployed,No,2.0,972.0,1.0,1
No,No,Unemployed,No,3.0,1134.0,3.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,1059.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,6.0,422.0,6.0,0
No,No,Unemployed,No,7.0,383.0,2.33,0
No,No,Unemployed,No,2.0,961.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,2.0,1984.0,2.0,0
No,No,Unemployed,No,2.0,507.0,1.0,0
No,No,Unemployed,Yes,3.0,560.0,3.0,0
Yes,No,Unemployed,No,5.0,296.0,5.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.0,1405.0,1.5,0
No,No,Working Professional,Yes,5.0,1513.0,5.0,1
Yes,No,Unemployed,Yes,27.0,212.0,2.45,1
No,No,Unemployed,No,4.0,257.0,2.0,0
No,No,Unemployed,Yes,4.0,517.0,2.0,0
No,No,Unemployed,Yes,4.0,241.0,2.0,0
No,No,Unemployed,No,4.0,21.0,4.0,0
No,No,Working Professional,No,4.0,1112.0,4.0,1
No,No,Unemployed,Yes,7.0,1585.0,1.4,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,3.0,128.0,3.0,1
No,No,Unemployed,No,13.0,293.0,3.25,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,1115.0,4.0,1
Yes,No,Unemployed,No,2.0,367.0,2.0,0
No,No,Unemployed,No,5.0,8.0,5.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,415.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,1179.0,2.0,1
No,No,Unemployed,No,9.0,1310.0,4.5,1
No,No,Unemployed,No,2.0,312.0,2.0,0
No,No,Unemployed,No,2.0,1499.0,1.0,1
No,No,Unemployed,No,1.0,1770.0,1.0,1
Yes,No,Unemployed,Yes,22.0,601.0,1.38,0
No,No,Unemployed,No,5.0,1135.0,2.5,1
No,No,Unemployed,Yes,3.0,784.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,5.0,830.0,5.0,1
No,No,Working Professional,Yes,3.0,294.0,3.0,1
Yes,No,Unemployed,Yes,5.0,228.0,5.0,0
No,No,Unemployed,Yes,3.0,1379.0,3.0,0
Yes,No,Unemployed,No,3.5977173233270796,266.0,2.465630081300813,1
No,No,Unemployed,No,5.0,1211.0,2.5,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,5.0,87.0,5.0,0
No,No,Unemployed,Yes,3.0,106.0,3.0,0
No,No,Unemployed,Yes,12.0,25.0,6.0,0
No,No,Unemployed,No,8.0,221.0,4.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,7.0,1100.0,2.33,1
No,No,Unemployed,No,3.0,664.0,3.0,1
No,No,Unemployed,No,4.0,1701.0,4.0,1
No,No,Unemployed,No,2.0,471.0,2.0,0
No,No,Working Professional,Yes,9.0,491.0,9.0,1
No,No,Working Professional,Yes,4.0,1200.0,4.0,1
No,No,Unemployed,No,6.0,1904.0,6.0,0
No,No,Working Professional,Yes,6.0,1835.0,6.0,1
No,No,Unemployed,No,1.0,84.0,1.0,0
No,No,Unemployed,Yes,3.0,239.0,3.0,0
Yes,No,Unemployed,Yes,2.0,269.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,3.5977173233270796,940.0,2.465630081300813,1
No,No,Unemployed,Yes,4.0,1449.0,4.0,1
No,No,Unemployed,No,3.0,399.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,6.0,863.0,6.0,1
No,No,Unemployed,Yes,2.0,125.0,2.0,0
No,No,Unemployed,Yes,2.0,65.0,2.0,0
No,No,Unemployed,Yes,5.0,255.0,5.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,5.0,1578.0,5.0,1
No,No,Working Professional,No,2.0,987.0,1.0,1
No,No,Unemployed,No,2.0,981.0,2.0,1
No,No,Working Professional,No,4.0,56.0,1.33,1
No,No,Unemployed,No,2.0,594.0,1.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,8.0,931.0,1.6,1
No,No,Student,Yes,3.0,24.0,3.0,0
No,No,Unemployed,No,2.0,1723.0,1.0,1
No,No,Unemployed,Yes,4.0,140.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Student,No,10.0,949.0,10.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,4.0,98.0,2.0,1
No,No,Unemployed,Yes,4.0,1352.0,1.33,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Student,No,2.0,1134.0,1.0,1
No,No,Working Professional,No,3.0,21.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,5.0,1006.0,5.0,0
No,No,Unemployed,No,1.0,102.0,1.0,0
No,No,Student,No,3.0,48.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,8.0,652.0,4.0,0
No,No,Unemployed,Yes,7.0,20.0,2.33,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,4.0,141.0,2.0,0
No,No,Unemployed,No,4.0,1370.0,4.0,0
Yes,No,Unemployed,No,3.5977173233270796,1378.0,2.465630081300813,1
No,No,Unemployed,Yes,2.0,465.0,2.0,0
Yes,No,Unemployed,Yes,5.0,1287.0,2.5,0
No,No,Unemployed,No,5.0,1403.0,2.5,0
No,No,Unemployed,No,6.0,1276.0,3.0,1
No,No,Unemployed,No,4.0,219.0,4.0,0
No,No,Student,Yes,2.0,79.0,2.0,0
Yes,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,1563.0,4.0,1
No,No,Unemployed,No,1.0,1136.0,1.0,0
No,No,Unemployed,Yes,5.0,21.0,5.0,0
No,No,Unemployed,Yes,2.0,1802.0,2.0,1
No,No,Unemployed,Yes,2.0,702.0,2.0,0
No,No,Unemployed,No,5.0,1291.0,5.0,1
No,No,Unemployed,No,3.0,1207.0,1.5,1
No,No,Unemployed,Yes,5.0,1531.0,5.0,1
Yes,No,Unemployed,No,4.0,65.0,4.0,0
No,No,Working Professional,Yes,3.0,1128.0,3.0,1
No,No,Unemployed,Yes,7.0,1290.0,7.0,1
No,No,Working Professional,No,2.0,855.0,2.0,1
No,No,Unemployed,Yes,3.0,206.0,3.0,1
No,No,Unemployed,No,5.0,401.0,5.0,0
No,No,Unemployed,Yes,2.0,1164.0,1.0,1
No,No,Unemployed,Yes,2.0,89.0,2.0,0
Yes,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,Yes,4.0,1252.0,2.0,1
No,No,Unemployed,No,2.0,695.0,2.0,1
Yes,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,5.0,209.0,1.67,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,2.0,1680.0,2.0,1
Yes,No,Unemployed,No,7.0,265.0,3.5,0
No,No,Unemployed,No,3.0,1768.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,6.0,442.0,6.0,1
No,No,Unemployed,No,1.0,94.0,1.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,2.0,27.0,2.0,0
No,No,Unemployed,Yes,2.0,1497.0,2.0,0
No,No,Unemployed,No,2.0,1163.0,2.0,1
No,No,Unemployed,No,1.0,102.0,1.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,5.0,29.0,5.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
Yes,No,Unemployed,Yes,10.0,271.0,5.0,0
No,No,Unemployed,Yes,2.0,1417.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,5.0,93.0,5.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,2.0,1191.0,2.0,0
No,No,Unemployed,Yes,11.0,332.0,2.75,1
No,No,Unemployed,No,3.0,992.0,3.0,1
No,No,Unemployed,Yes,2.0,257.0,2.0,0
No,No,Unemployed,No,3.0,271.0,1.5,0
No,No,Unemployed,Yes,8.0,411.0,2.0,1
No,No,Unemployed,No,6.0,1173.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,2.0,1014.0,1.0,1
No,No,Unemployed,No,6.0,309.0,3.0,0
No,No,Unemployed,Yes,4.0,82.0,4.0,0
Yes,No,Unemployed,No,0.0,0.0,0.0,1
Yes,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Student,No,10.0,1128.0,5.0,1
No,No,Unemployed,Yes,2.0,133.0,2.0,0
No,No,Businessman,No,11.0,1700.0,11.0,1
Yes,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Student,Yes,4.0,334.0,2.0,0
Yes,No,Working Professional,No,4.0,321.0,4.0,1
No,No,Unemployed,No,2.0,1567.0,2.0,1
No,No,Unemployed,No,9.0,1953.0,1.8,1
No,No,Unemployed,Yes,2.0,84.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,4.0,1579.0,4.0,0
No,No,Unemployed,No,2.0,2170.0,1.0,1
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,3.0,21.0,3.0,0
No,No,Unemployed,No,6.0,1201.0,3.0,1
No,No,Unemployed,No,3.0,759.0,3.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,2.0,222.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,6.0,617.0,6.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,7.0,160.0,7.0,0
No,No,Unemployed,Yes,5.0,301.0,5.0,0
No,No,Unemployed,No,4.0,1222.0,4.0,0
Yes,No,Unemployed,No,8.0,1845.0,2.67,1
No,No,Unemployed,No,4.0,40.0,2.0,1
No,No,Working Professional,Yes,5.0,957.0,5.0,1
No,No,Unemployed,Yes,2.0,225.0,2.0,0
Yes,No,Unemployed,Yes,2.0,93.0,2.0,0
No,No,Unemployed,No,4.0,222.0,4.0,1
No,No,Unemployed,No,6.0,652.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,14.0,1555.0,14.0,1
No,No,Unemployed,Yes,9.0,1354.0,3.0,1
No,No,Unemployed,No,2.0,46.0,2.0,0
No,No,Student,No,1.0,990.0,1.0,1
No,No,Unemployed,Yes,6.0,983.0,2.0,1
No,No,Unemployed,No,2.0,213.0,2.0,0
No,No,Student,No,0.0,0.0,0.0,0
No,No,Unemployed,No,2.0,950.0,2.0,1
No,No,Unemployed,Yes,6.0,34.0,6.0,0
No,No,Unemployed,No,3.0,263.0,3.0,0
No,No,Unemployed,Yes,6.0,394.0,2.0,0
No,No,Unemployed,No,2.0,339.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,3.5977173233270796,97.0,2.465630081300813,0
No,No,Unemployed,Yes,12.0,1248.0,2.4,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,6.0,1168.0,2.0,1
No,No,Unemployed,No,2.0,1425.0,2.0,0
No,No,Unemployed,No,4.0,947.0,4.0,0
No,No,Unemployed,No,3.0,172.0,3.0,0
No,No,Unemployed,No,3.0,445.0,3.0,0
Yes,No,Unemployed,Yes,7.0,315.0,2.33,0
No,No,Unemployed,No,3.0,2253.0,3.0,1
No,No,Unemployed,No,2.0,1044.0,2.0,1
No,No,Unemployed,Yes,7.0,928.0,3.5,1
No,No,Unemployed,No,4.0,381.0,4.0,0
Yes,No,Unemployed,No,6.0,1403.0,6.0,0
Yes,No,Unemployed,No,4.0,158.0,4.0,0
No,No,Student,No,5.0,182.0,5.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,3.0,1584.0,1.5,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,4.0,276.0,4.0,0
No,No,Unemployed,Yes,3.0,155.0,3.0,0
No,No,Unemployed,Yes,8.0,39.0,2.67,0
No,No,Unemployed,No,5.0,261.0,5.0,0
No,No,Unemployed,Yes,2.0,1666.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,3.0,832.0,1.5,1
No,No,Unemployed,No,3.0,239.0,1.5,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,7.0,472.0,1.75,1
No,No,Unemployed,Yes,9.0,932.0,3.0,1
No,No,Unemployed,Yes,4.0,1210.0,1.33,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,4.0,390.0,4.0,1
No,No,Unemployed,Yes,4.0,497.0,4.0,0
Yes,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,1553.0,1.0,0
No,No,Working Professional,No,4.0,83.0,4.0,1
No,No,Unemployed,No,2.0,1269.0,2.0,0
No,No,Unemployed,No,2.0,345.0,2.0,1
No,No,Unemployed,Yes,10.0,1669.0,2.5,1
No,No,Unemployed,No,3.0,97.0,3.0,0
No,No,Unemployed,No,2.0,1184.0,2.0,1
No,No,Unemployed,No,3.0,208.0,3.0,0
No,No,Unemployed,No,5.0,162.0,2.5,0
No,No,Unemployed,No,4.0,161.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,4.0,733.0,4.0,1
No,No,Unemployed,Yes,3.0,349.0,3.0,0
No,No,Working Professional,No,3.0,130.0,3.0,1
No,No,Unemployed,No,4.0,45.0,4.0,1
Yes,No,Unemployed,Yes,1.0,340.0,1.0,0
No,No,Unemployed,Yes,6.0,503.0,6.0,0
No,No,Unemployed,No,3.5977173233270796,301.0,2.465630081300813,0
No,No,Unemployed,No,4.0,1313.0,4.0,0
No,No,Unemployed,No,4.0,62.0,4.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,Yes,3.0,117.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,No,6.0,595.0,3.0,1
No,No,Unemployed,No,6.0,90.0,2.0,0
No,No,Unemployed,Yes,2.0,340.0,2.0,1
Yes,No,Unemployed,No,1.0,296.0,1.0,0
No,No,Unemployed,Yes,4.0,419.0,1.33,0
No,No,Unemployed,No,4.0,1121.0,4.0,1
No,No,Unemployed,No,5.0,1464.0,5.0,1
No,No,Unemployed,No,3.5977173233270796,1517.0,2.465630081300813,0
No,No,Unemployed,No,27.0,350.0,5.4,1
No,No,Unemployed,Yes,4.0,77.0,2.0,0
No,No,Unemployed,Yes,7.0,945.0,3.5,0
No,No,Unemployed,Yes,2.0,156.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,5.0,357.0,5.0,0
No,No,Unemployed,Yes,7.0,3.0,7.0,0
No,No,Unemployed,No,2.0,631.0,1.0,1
No,No,Unemployed,No,11.0,1027.0,5.5,1
No,No,Unemployed,No,5.0,388.0,5.0,0
Yes,No,Unemployed,No,2.0,1016.0,2.0,0
No,No,Unemployed,No,3.5977173233270796,1608.0,2.465630081300813,1
No,No,Unemployed,No,4.0,1033.0,4.0,1
No,No,Unemployed,No,7.0,29.0,2.33,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,3.0,71.0,1.5,0
No,No,Unemployed,No,2.0,107.0,2.0,1
No,No,Unemployed,No,2.0,480.0,1.0,0
No,No,Unemployed,Yes,3.0,1049.0,3.0,1
No,No,Unemployed,Yes,8.0,310.0,2.67,0
No,No,Unemployed,No,5.0,376.0,5.0,0
No,No,Unemployed,Yes,3.0,790.0,3.0,1
No,No,Student,No,3.0,1385.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,23.0,2.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,332.0,2.0,1
No,No,Working Professional,Yes,3.0,1053.0,3.0,1
No,No,Unemployed,Yes,12.0,1805.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,3.0,358.0,3.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,2.0,70.0,2.0,0
No,No,Unemployed,No,3.0,137.0,3.0,0
No,No,Unemployed,No,4.0,434.0,4.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,2.0,949.0,2.0,1
No,No,Unemployed,No,4.0,16.0,4.0,0
No,No,Unemployed,No,2.0,288.0,2.0,0
No,No,Unemployed,No,5.0,193.0,5.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,2.0,190.0,2.0,0
No,No,Unemployed,No,4.0,1452.0,4.0,0
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Unemployed,No,7.0,159.0,2.33,0
No,No,Unemployed,No,0.0,0.0,0.0,1
Yes,No,Unemployed,Yes,3.0,231.0,3.0,0
No,No,Unemployed,No,2.0,271.0,2.0,0
No,No,Unemployed,Yes,2.0,181.0,2.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,15.0,1040.0,3.0,1
No,No,Unemployed,No,2.0,138.0,2.0,0
No,No,Unemployed,Yes,3.0,950.0,3.0,1
No,No,Unemployed,Yes,3.0,210.0,3.0,0
No,No,Unemployed,No,5.0,1337.0,5.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,4.0,162.0,4.0,0
No,No,Unemployed,Yes,2.0,1302.0,2.0,1
No,No,Unemployed,No,3.0,970.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,188.0,2.0,0
No,No,Unemployed,Yes,2.0,323.0,2.0,0
Yes,No,Unemployed,No,6.0,652.0,3.0,0
No,No,Unemployed,No,3.0,1127.0,3.0,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,4.0,329.0,4.0,0
No,No,Working Professional,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,29.0,286.0,14.5,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,No,2.0,258.0,2.0,0
No,No,Unemployed,Yes,3.0,1097.0,1.5,1
No,No,Unemployed,Yes,3.0,1820.0,3.0,1
No,No,Unemployed,No,2.0,1368.0,2.0,1
No,No,Unemployed,Yes,1.0,533.0,1.0,0
No,No,Unemployed,No,3.0,1561.0,1.5,1
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,4.0,1766.0,2.0,1
No,No,Unemployed,No,3.0,135.0,3.0,0
No,No,Unemployed,No,2.0,251.0,2.0,1
No,No,Unemployed,No,13.0,99.0,13.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Working Professional,No,5.0,1722.0,5.0,1
No,No,Unemployed,No,0.0,0.0,0.0,0
No,No,Working Professional,No,6.0,76.0,3.0,1
No,No,Unemployed,No,6.0,1517.0,6.0,0
No,No,Unemployed,No,0.0,0.0,0.0,1
No,No,Unemployed,Yes,5.0,260.0,5.0,0
No,No,Unemployed,Yes,2.0,181.0,2.0,0
Yes,No,Unemployed,No,3.0,337.0,3.0,0
No,No,Unemployed,No,3.0,1459.0,3.0,1
No,No,Unemployed,Yes,2.0,151.0,2.0,0
No,No,Unemployed,Yes,6.0,234.0,6.0,0
No,No,Unemployed,Yes,12.0,734.0,1.71,1
No,No,Unemployed,No,3.0,461.0,1.5,0
No,No,Unemployed,Yes,2.0,228.0,2.0,0
No,No,Student,Yes,6.0,263.0,6.0,0
No,No,Unemployed,Yes,2.0,1146.0,2.0,1
No,No,Unemployed,Yes,2.0,1036.0,2.0,0
No,No,Unemployed,No,4.0,342.0,2.0,0
No,No,Working Professional,Yes,11.0,746.0,2.75,1
No,No,Unemployed,Yes,13.0,979.0,3.25,1
